Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Manchester United,38,24,8,6,79,31,48,80,2000/2001
2,Arsenal,38,20,10,8,63,38,25,70,2000/2001
3,Liverpool,38,20,9,9,71,39,32,69,2000/2001
4,Leeds United,38,20,8,10,64,43,21,68,2000/2001
5,Ipswich Town,38,20,6,12,57,42,15,66,2000/2001
6,Chelsea,38,17,10,11,68,45,23,61,2000/2001
7,Sunderland,38,15,12,11,46,41,5,57,2000/2001
8,Aston Villa,38,13,15,10,46,43,3,54,2000/2001
9,Charlton Athletic,38,14,10,14,50,57,-7,52,2000/2001
10,Southampton,38,14,10,14,40,48,-8,52,2000/2001
11,Newcastle United,38,14,9,15,44,50,-6,51,2000/2001
12,Tottenham Hotspur,38,13,10,15,47,54,-7,49,2000/2001
13,Leicester City,38,14,6,18,39,51,-12,48,2000/2001
14,Middlesbrough,38,9,15,14,44,44,0,42,2000/2001
15,WestHam United,38,10,12,16,45,50,-5,42,2000/2001
16,Everton,38,11,9,18,45,59,-14,42,2000/2001
17,Derby County,38,10,12,16,37,59,-22,42,2000/2001
18,Manchester City,38,8,10,20,41,65,-24,34,2000/2001
19,Coventry City,38,8,10,20,36,63,-27,34,2000/2001
20,Bradford City,38,5,11,22,30,70,-40,26,2000/2001
