Position,Club,	Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Arsenal,38,26,9,3,79,36,43,87,2001/2002
2,Liverpool,38,24,8,6,67,30,37,80,2001/2002
3,Manchester United,38,24,5,9,87,45,42,77,2001/2002
4,Newcastle United,38,21,8,9,74,52,22,71,2001/2002
5,Leeds United,38,18,12,8,53,37,16,66,2001/2002
6,Chelsea,38,17,13,8,66,38,28,64,2001/2002
7,West Ham United,38,15,8,15,48,57,-9,53,2001/2002
8,Aston Villa,38,12,14,12,46,47,-1,50,2001/2002
9,Tottenham Hotspur,38,14,8,16,49,53,-4,50,2001/2002
10,Blackburn Rovers,38,12,10,16,55,51,4,46,2001/2002
11,Southampton,38,12,9,17,46,54,-8,45,2001/2002
12,Middlesbrough,38,12,9,17,35,47,-12,45,2001/2002
13,Fulham,38,10,14,14,36,44,-8,44,2001/2002
14,Charlton Athletic,38,10,14,14,38,49,-11,44,2001/2002
15,Everton,38,11,10,17,45,57,-12,43,2001/2002
16,Bolton Wanderers,38,9,13,16,44,62,-18,40,2001/2002
17,Sunderland,38,10,10,18,29,51,-22,40,2001/2002
18,Ipswich Town,38,9,9,20,41,64,-23,36,2001/2002
19,Derby County,38,8,6,24,33,63,-30,30,2001/2002
20,Leicester City,38,5,13,20,30,64,-34,28,2001/2002
