Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Manchester United,38,28,7,3,97,45,52,91,1999/2000
2,Arsenal,38,22,7,9,73,43,30,73,1999/2000
3,Leeds United,38,21,6,11,58,43,15,69,1999/2000
4,Liverpool,38,19,10,9,51,30,21,67,1999/2000
5,Chelsea,38,18,11,9,53,34,19,65,1999/2000
6,Aston Villa,38,15,13,10,46,35,11,58,1999/2000
7,Sunderland,38,16,10,12,57,56,1,58,1999/2000
8,Leicester City,38,16,7,15,55,55,0,55,1999/2000
9,West Ham United,38,15,10,13,52,53,-1,55,1999/2000
10,Tottenham Hotspur,38,15,8,15,57,49,8,53,1999/2000
11,Newcastle United,38,14,10,14,63,54,9,52,1999/2000
12,Middlesbrough,38,14,10,14,46,52,-6,52,1999/2000
13,Everton,38,12,14,12,59,49,10,50,1999/2000
14,Coventry City,38,12,8,18,47,54,-7,44,1999/2000
15,Southampton,38,12,8,18,45,62,-17,44,1999/2000
16,Derby County,38,9,11,18,44,57,-13,38,1999/2000
17,Bradford City,38,9,9,20,38,68,-30,36,1999/2000
18,Wimbledon,38,7,12,19,46,74,-28,33,1999/2000
19,Sheffield Wednesday,38,8,7,23,38,70,-32,31,1999/2000
20,Watford,38,6,6,26,35,77,-42,24,1999/2000
