Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Chelsea,38,29,8,1,72,15,57,95,2004/2005
2,Arsenal,38,25,8,5,87,36,51,83,2004/2005
3,Manchester United,38,22,11,5,58,26,32,77,2004/2005
4,Everton,38,18,7,13,45,46,-1,61,2004/2005
5,Liverpool,38,17,7,14,52,41,11,58,2004/2005
6,Bolton Wanderers,38,16,10,12,49,44,5,58,2004/2005
7,Middlesbrough,38,14,13,11,53,46,7,55,2004/2005
8,Manchester City,38,13,13,12,47,39,8,52,2004/2005
9,Tottenham Hotspur,38,14,10,14,47,41,6,52,2004/2005
10,Aston Villa,38,12,11,15,45,52,-7,47,2004/2005
11,Charlton Athletic,38,12,10,16,42,58,-16,46,2004/2005
12,Birmingham City,38,11,12,15,40,46,-6,45,2004/2005
13,Fulham,38,12,8,18,52,60,-8,44,2004/2005
14,Newcastle United,38,10,14,14,47,57,-10,44,2004/2005
15,Blackburn Rovers,38,9,15,14,32,43,-11,42,2004/2005
16,Portsmouth,38,10,9,19,43,59,-16,39,2004/2005
17,West Bromwich Albion,38,6,16,16,36,61,-25,34,2004/2005
18,Crystal Palace,38,7,12,19,41,62,-21,33,2004/2005
19,Norwich City,38,7,12,19,42,77,-35,33,2004/2005
20,Southampton,38,6,14,18,45,66,-21,32,2004/2005
