Position,Club,	Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Manchester United,38,28,6,4,68,24,44,90,2008/2009
2,Liverpool,38,25,11,2,77,27,50,86,2008/2009
3,Chelsea,38,25,8,5,68,24,44,83,2008/2009
4,Arsenal,38,20,12,6,68,37,31,72,2008/2009
5,Everton,38,17,12,9,55,37,18,63,2008/2009
6,Aston Villa,38,17,11,10,54,48,6,62,2008/2009
7,Fulham,38,14,11,13,39,34,5,53,2008/2009
8,Tottenham Hotspur,38,14,9,15,45,45,0,51,2008/2009
9,West Ham United,38,14,9,15,42,45,-3,51,2008/2009
10,Manchester City,38,15,5,18,58,50,8,50,2008/2009
11,Wigan Athletic,38,12,9,17,34,45,-11,45,2008/2009
12,Stoke City,38,12,9,17,38,55,-17,45,2008/2009
13,Bolton Wanderers,38,11,8,19,41,53,-12,41,2008/2009
14,Portsmouth,38,10,11,17,38,57,-19,41,2008/2009
15,Blackburn Rovers,38,10,11,17,40,60,-20,41,2008/2009
16,Sunderland,38,9,9,20,34,54,-20,36,2008/2009
17,Hull City,38,8,11,19,39,64,-25,35,2008/2009
18,Newcastle United,38,7,13,18,40,59,-19,34,2008/2009
19,Middlesbrough,38,7,11,20,28,57,-29,32,2008/2009
20,West Bromwich Albion,38,8,8,22,36,67,-31,32,2008/2009
