Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Manchester United,42,27,11,4,80,38,42,92,1993/1994
2,Blackburn Rovers,42,25,9,8,63,36,27,84,1993/1994
3,Newcastle United,42,23,8,11,82,41,41,77,1993/1994
4,Arsenal,42,18,17,7,53,28,25,71,1993/1994
5,Leeds United,42,18,16,8,65,39,26,70,1993/1994
6,Wimbledon,42,18,11,13,56,53,3,65,1993/1994
7,Sheffield Wednesday,42,16,16,10,76,54,22,64,1993/1994
8,Liverpool,42,17,9,16,59,55,4,60,1993/1994
9,Queens Park Rangers,42,16,12,14,62,61,1,60,1993/1994
10,Aston Villa,42,15,12,15,46,50,-4,57,1993/1994
11,Coventry City,42,14,14,14,43,45,-2,56,1993/1994
12,Norwich City,42,12,17,13,65,61,4,53,1993/1994
13,West Ham United,42,13,13,16,47,58,-11,52,1993/1994
14,Chelsea,42,13,12,17,49,53,-4,51,1993/1994
15,Tottenham Hotspur,42,11,12,19,54,59,-5,45,1993/1994
16,Manchester City,42,9,18,15,38,49,-11,45,1993/1994
17,Everton,42,12,8,22,42,63,-21,44,1993/1994
18,Southampton,42,12,7,23,49,66,-17,43,1993/1994
19,Ipswich Town,42,9,16,17,35,58,-23,43,1993/1994
20,Sheffield United,42,8,18,16,42,60,-18,42,1993/1994
21,Oldham Athletic,42,9,13,20,42,68,-26,40,1993/1994
22,Swindon Town,42,5,15,22,47,100,-53,30,1993/1994
