Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Manchester United,38,27,6,5,80,22,58,87,2007/2008
2,Chelsea,38,25,10,3,65,26,39,85,2007/2008
3,Arsenal,38,24,11,3,74,31,43,83,2007/2008
4,Liverpool,38,21,13,4,67,28,39,76,2007/2008
5,Everton,38,19,8,11,55,33,22,65,2007/2008
6,Aston Villa,38,16,12,10,71,51,20,60,2007/2008
7,Blackburn Rovers,38,15,13,10,50,48,2,58,2007/2008
8,Portsmouth,38,16,9,13,48,40,8,57,2007/2008
9,Manchester City,38,15,10,13,45,53,-8,55,2007/2008
10,West Ham United,38,13,10,15,42,50,-8,49,2007/2008
11,Tottenham Hotspur,38,11,13,14,66,61,5,46,2007/2008
12,Newcastle United,38,11,10,17,45,65,-20,43,2007/2008
13,Middlesbrough,38,10,12,16,43,53,-10,42,2007/2008
14,Wigan Athletic,38,10,10,18,34,51,-17,40,2007/2008
15,Sunderland,38,11,6,21,36,59,-23,39,2007/2008
16,Bolton Wanderers,38,9,10,19,36,54,-18,37,2007/2008
17,Fulham,38,8,12,18,38,60,-22,36,2007/2008
18,Reading,38,10,6,22,41,66,-25,36,2007/2008
19,Birmingham City,38,8,11,19,46,62,-16,35,2007/2008
20,Derby County,38,1,8,29,20,89,-69,11,2007/2008
