Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Liverpool,29,27,1,1,66,21,45,82,2019/2020
2,Manchester City,28,18,3,7,68,31,37,57,2019/2020
3,Leicester City,29,16,5,8,58,28,30,53,2019/2020
4,Chelsea,29,14,6,9,51,39,12,48,2019/2020
5,Manchester United,29,12,9,8,44,30,14,45,2019/2020
6,Wolverhampton Wanderers,29,10,13,6,41,34,7,43,2019/2020
7,Sheffield United,28,11,10,7,30,25,5,43,2019/2020
8,Tottenham Hotspur,29,11,8,10,47,40,7,41,2019/2020
9,Arsenal,28,9,13,6,40,36,4,40,2019/2020
10,Burnley,29,11,6,12,34,40,-6,39,2019/2020
11,Crystal Palace,29,10,9,10,26,32,-6,39,2019/2020
12,Everton,29,10,7,12,37,46,-9,37,2019/2020
13,Newcastle United,29,9,8,12,25,41,-16,35,2019/2020
14,Southampton,29,10,4,15,35,52,-17,34,2019/2020
15,Brighton and Hove Albion,29,6,11,12,32,40,-8,29,2019/2020
16,West Ham United,29,7,6,16,35,50,-15,27,2019/2020
17,Watford,29,6,9,14,27,44,-17,27,2019/2020
18,Bournemouth,29,7,6,16,29,47,-18,27,2019/2020
19,Aston Villa,28,7,4,17,34,56,-22,25,2019/2020
20,Norwich City,29,5,6,18,25,52,-27,21,2019/2020
